"Asset","Date","Description","Amount","Fee","Price","Pair","Other Currency","Other Amount","IBAN","Transaction Hash","Address","Tram","Additional Info"
# sold XRP for USD
#CM has two rows for each transaction, but all the necessary info is present in 1, so we can ignore the dup
# BUY=(to-from) and SELL=(from-to)
# sell
#"XRP","2021-04-30 10:52:36","Order 46a38676ba8aae7f","-20.0","0","0.00002825","XRP/BTC","BTC","0.0005649","n/a","n/a","n/a","n/a","n/a"
#buy
#"BTC","2021-04-30 10:52:36","Order 46a38676ba8aae7f","0.0005644","0.000001","0.00002825","XRP/BTC","XRP","-20.0","n/a","n/a","n/a","n/a","n/a"
# looks like fee is always present on the row with positive value first
###########
# a standard BUY of XRP from market XRP/USD , except fee is in XRP, which is abnormal because fee is usually in base currency
# usually a buy
"XRP","2022-05-16 12:13:18","Order 4df925efb144f98d","499.5","0.5","0.417856","XRP/USD","USD","-208.93","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"USD","2022-05-16 12:13:18","Order 4df925efb144f98d","-208.93","0","0.417856","XRP/USD","XRP","500.0","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"USD","2022-02-09 14:36:07","Order 95938da82451baf3","79.73","0.07981","0.886789","XRP/USD","XRP","-90.0","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"XRP","2022-02-09 14:36:07","Order 95938da82451baf3","-90.0","0","0.886789","XRP/USD","USD","79.81","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"USD","2022-01-24 13:10:45","Order 744f659b40d11b89","-22.62","0","0.56545","XRP/USD","XRP","40.0","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"XRP","2022-01-24 13:10:45","Order 744f659b40d11b89","39.96","0.04","0.56545","XRP/USD","USD","-22.62","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
#2021
"XRP","2021-12-06 00:33:39","Order f02b87907994230b","59.94","0.06","0.8","XRP/USD","USD","-48.0","n/a","n/a","n/a","n/a","n/a"
"USD","2021-12-06 00:33:39","Order f02b87907994230b","-48.0","0","0.8","XRP/USD","XRP","60.0","n/a","n/a","n/a","n/a","n/a"
#
"XRP","2021-10-25 11:11:44","Order 0b5c9ebf827b145b","39.96","0.04","1.08867","XRP/USD","USD","-43.55","n/a","n/a","n/a","n/a","n/a"
